Silvio Pettirossi International,Medium airport,Asunci?,Paraguay,ASU,SGAS,
Amboseli,Medium airport,Amboseli National Park,Kenya,ASV,HKAM,
Aswan International,Medium airport,Aswan,Egypt,ASW,HESN,
John F Kennedy Memorial,Small airport,Ashland,United States,ASX,KASX,ASX
Ashley Municipal,Small airport,Ashley,United States,ASY,KASY,ASY
Asirim,Small airport,,Papua New Guinea,ASZ,,
Comandante FAP German Arias Graziani,Medium airport,Anta,Per?ATA,SPHZ,,
Atbara,Small airport,Atbara,Sudan,ATB,HSAT,
Arthur's Town,Medium airport,Arthur's Town,Bahamas,ATC,MYCA,
Uru Harbour,Small airport,Atoifi,Solomon Islands,ATD,AGAT,
Antlers Municipal,Small airport,Antlers,United States,ATE,80F,80F
Chacho?,Medium airport,Ambato,Ecuador,ATF,SEAM,
Eleftherios Venizelos International,Large airport,Athens,Greece,ATH,LGAV,
Artigas International,Small airport,Artigas,Uruguay,ATI,SUAG,
Antsirabe,Small airport,Antsirabe,Madagascar,ATJ,FMME,
Atqasuk Edward Burnell Sr Memorial,Medium airport,Atqasuk,United States,ATK,PATQ,ATK
Hartsfield Jackson Atlanta International,Large airport,Atlanta,United States,ATL,KATL,ATL
Altamira,Medium airport,Altamira,Brazil,ATM,SBHT,
Namatanai,Small airport,Namatanai,Papua New Guinea,ATN,AYNX,
Ohio University Snyder Field,Small airport,Athens/Albany,United States,ATO,KUNI,UNI
Aitape,Small airport,Aitape,Papua New Guinea,ATP,AYAI,
Sri Guru Ram Dass Jee International,Large airport,Amritsar,India,ATQ,VIAR,
Atar International,Medium airport,Atar,Mauritania,ATR,GQPA,
Artesia Municipal,Small airport,Artesia,United States,ATS,KATS,ATS
Atmautluak,Small airport,Atmautluak,United States,ATT,,4A2
Casco Cove Coast Guard Station,Small airport,Attu,United States,ATU,PAAT,ATU
Ati,Small airport,Ati,Chad,ATV,FTTI,
Appleton International,Small airport,Appleton,United States,ATW,KATW,ATW
Atbasar,Small airport,Atbasar,Kazakhstan,ATX,,
Watertown Regional,Medium airport,Watertown,United States,ATY,KATY,ATY
Assiut International,Medium airport,Assiut,Egypt,ATZ,HEAT,
Queen Beatrix International,Medium airport,Oranjestad,Aruba,AUA,TNCA,
Itauba잺losed,Closed,Itauba,Brazil,AUB,,
Santiago Perez,Medium airport,Arauca,Colombia,AUC,SKUC,
Augustus Downs,Small airport,,Australia,AUD,YAGD,
Abu Rudeis,Small airport,Abu Rudeis,Egypt,AUE,,
Auxerre-Branches,Medium airport,Auxerre/Branches,France,AUF,LFLA,
Augusta State,Medium airport,Augusta,United States,AUG,KAUG,AUG
Abu Dhabi International,Large airport,Abu Dhabi,United Arab Emirates,AUH,OMAA,
Aua Island,Small airport,Aua Island,Papua New Guinea,AUI,AYND,
Ambunti,Small airport,Ambunti,Papua New Guinea,AUJ,AYAT,
Alakanuk,Small airport,Alakanuk,United States,AUK,PAUK,AUK
Aur Island,Small airport,Aur Atoll,Marshall Islands,AUL,,
Austin Municipal,Small airport,Austin,United States,AUM,KAUM,AUM
Auburn Municipal,Small airport,Auburn,United States,AUN,KAUN,AUN
Auburn Opelika Robert G. Pitts,Small airport,Auburn,United States,AUO,KAUO,AUO
Agaun,Small airport,,Papua New Guinea,AUP,AYAG,
Hiva Oa-Atuona,Medium airport,Hiva Oa Island,French Polynesia,AUQ,NTMN,
Aurillac,Medium airport,Aurillac,France,AUR,LFLW,
Austin Bergstrom International,Large airport,Austin,United States,AUS,KAUS,AUS
Atauro,Small airport,Atauro,Timor-Leste,AUT,WPAT,
Aurukun,Small airport,Aurukun,Australia,AUU,YAUR,
Aumo,Small airport,Aumo,Papua New Guinea,AUV,AYUM,
Wausau Downtown,Medium airport,Wausau,United States,AUW,KAUW,AUW
Aragua?a,Small airport,Aragua?a,Brazil,AUX,SWGN,
Aneityum,Small airport,Anatom Island,Vanuatu,AUY,NVVA,
Aurora Municipal,Small airport,Chicago/Aurora,United States,AUZ,KARR,ARR
Anshun Huangguoshu,Medium airport,Anshun,China,AVA,ZUAS,
Aviano Air Base,Medium airport,Aviano (PN),Italy,AVB,LIPA,
Avoriaz잺losed,Closed,Avoriaz,France,AVF,,
Auvergne,Small airport,,Australia,AVG,YAUV,
Maximo Gomez,Medium airport,Ciego de Avila,Cuba,AVI,MUCA,
Arvaikheer,Medium airport,Arvaikheer,Mongolia,AVK,ZMAH,
Asheville Regional,Large airport,Asheville,United States,AVL,KAVL,AVL
Avignon-Caumont,Medium airport,Avignon/Caumont,France,AVN,LFMV,
Avon Park Executive,Small airport,Avon Park,United States,AVO,KAVO,AVO
Wilkes Barre Scranton International,Medium airport,Wilkes-Barre/Scranton,United States,AVP,KAVP,AVP
Alverca,Medium airport,Vila Franca de Xira,Portugal,AVR,LPAR,
Avu Avu,Small airport,,Solomon Islands,AVU,AGGJ,
Avalon,Medium airport,Melbourne,Australia,AVV,YMAV,
Marana Regional,Small airport,Tucson,United States,AVW,KAVQ,AVQ
Awassa,Small airport,Awassa,Ethiopia,AWA,HALA,
Aniwa,Small airport,Aniwa,Vanuatu,AWD,NVVB,
Alowe,Small airport,Wonga Wongu?Presidential Reserve,Gabon,AWE,FOGW,
Awareh잺losed,Closed,Awareh,Ethiopia,AWH,,
Wake Island Airfield,Medium airport,Wake Island,United States Minor Outlying Islands,AWK,PWAK,AWK
West Memphis Municipal,Small airport,West Memphis,United States,AWM,KAWM,AWM
Alton Downs,Small airport,,Australia,AWN,YADS,
Austral Downs,Small airport,,Australia,AWP,YAUS,
Awar잺losed,Closed,Awar,Papua New Guinea,AWR,,
Ahwaz,Medium airport,Ahwaz,Iran,AWZ,OIAW,
Wallblake,Medium airport,The Valley,Anguilla,AXA,TQPF,
Maxson Airfield,Small airport,Alexandria Bay,United States,AXB,89NY,89NY
Aramac,Small airport,,Australia,AXC,YAMC,
Dimokritos,Medium airport,Alexandroupolis,Greece,AXD,LGAL,
Xanxer?Small airport,Xanxer?Brazil,AXE,SSXX,,,
Algona Municipal,Small airport,Algona,United States,AXG,KAXA,AXA
Amakusa,Small airport,,Japan,AXJ,RJDA,
Ataq,Medium airport,,Yemen,AXK,OYAT,
Alexandria Homestead,Small airport,,Australia,AXL,YALX,
El Eden,Medium airport,Armenia,Colombia,AXM,SKAR,
Chandler Field,Medium airport,Alexandria,United States,AXN,KAXN,AXN
Spring Point,Medium airport,Spring Point,Bahamas,AXP,MYAP,
Arutua,Medium airport,,French Polynesia,AXR,NTGU,
Altus Quartz Mountain Regional,Small airport,Altus,United States,AXS,KAXS,AXS
Akita,Medium airport,Akita,Japan,AXT,RJSK,
Axum,Medium airport,,Ethiopia,AXU,HAAX,
Neil Armstrong,Small airport,Wapakoneta,United States,AXV,KAXV,AXV
Angel Fire,Small airport,Angel Fire,United States,AXX,KAXX,AXX
Ayapel,Small airport,Ayapel,Colombia,AYA,,
Ayacucho,Small airport,Ayacucho,Colombia,AYC,,
Alroy Downs,Small airport,Alroy Downs,Australia,AYD,,
Ft Devens Moore Army Air Field잺losed,Closed,,United States,AYE,KAYE,
Yaguara,Small airport,San Vicente Del Cagu?,Colombia,AYG,SKYA,
RAF Alconbury잺losed,Closed,Huntingdon,United Kingdom,AYH,EGWZ,
Yari,Small airport,Yari,Colombia,AYI,,
Arkalyk North,Small airport,Arkalyk,Kazakhstan,AYK,UAUR,
Anthony Lagoon,Small airport,,Australia,AYL,YANL,
Anyang,Small airport,Anyang,China,AYN,ZHAY,
Juan De Ayolas,Medium airport,Ayolas,Paraguay,AYO,SGAY,
Coronel FAP Alfredo Mendivil Duarte,Medium airport,Ayacucho,Per?AYP,SPHO,,
Ayers Rock Connellan,Medium airport,Ayers Rock,Australia,AYQ,YAYE,
Ayr,Small airport,,Australia,AYR,YAYR,
Waycross Ware County,Small airport,Waycross,United States,AYS,KAYS,AYS
Antalya International,Large airport,Antalya,Turkey,AYT,LTAI,
Aiyura,Small airport,Aiyura Valley,Papua New Guinea,AYU,AYAY,
Ayawasi,Small airport,Ayawasi-Papua Island,Indonesia,AYW,WASA,
Arugam Bay SPB,Seaplane base,Pottuvil,Sri Lanka,AYY,,
Zahn's잺losed,Closed,Amityville,United States,AYZ,,
Phoenix-Mesa-Gateway,Medium airport,Phoenix,United States,AZA,KIWA,IWA
Amazon Bay,Small airport,,Papua New Guinea,AZB,,
Shahid Sadooghi,Medium airport,Yazd,Iran,AZD,OIYY,
Pablo L. Sidar,Small airport,Apatzing?,Mexico,AZG,MMAG,
Bateen,Medium airport,,United Arab Emirates,AZI,OMAD,
Fazenda Tucunar?Small airport,Sapezal,Brazil,AZL,SWTU,,
Andizhan,Small airport,Andizhan,Uzbekistan,AZN,UTKA,
Kalamazoo Battle Creek International,Medium airport,Kalamazoo,United States,AZO,KAZO,AZO
Atizapan De Zaragoza,Small airport,,Mexico,AZP,MMJC,
Touat Cheikh Sidi Mohamed Belkebir,Medium airport,,Algeria,AZR,DAUA,
Saman?El Catey International,Medium airport,Samana,Dominican Republic,AZS,MDCY,
Zapatoca,Small airport,Zapatoca,Colombia,AZT,,
Ambriz,Small airport,Ambriz,Angola,AZZ,FNAM,
Bialla,Small airport,"Bialla, Matalilu, Ewase",Papua New Guinea,BAA,AYBL,
Beale Air Force Base,Large airport,Marysville,United States,BAB,KBAB,BAB
Barranca De Upia,Small airport,Barranca De Upia,Colombia,BAC,,
Barksdale Air Force Base,Large airport,Bossier City,United States,BAD,KBAD,BAD
Barcelonnette - Saint-Pons,Small airport,Le Castellet,France,BAE,LFMR,
Westfield-Barnes Regional,Medium airport,Westfield/Springfield,United States,BAF,KBAF,BAF
Loakan,Medium airport,Baguio City,Philippines,BAG,RPUB,
Bahrain International,Large airport,Manama,Bahrain,BAH,OBBI,
Buenos Aires,Medium airport,Punta Arenas,Costa Rica,BAI,MRBA,
Bali,Small airport,Unea Island,Papua New Guinea,BAJ,,
Batman,Medium airport,Batman,Turkey,BAL,LTCJ,
Battle Mountain,Small airport,Battle Mountain,United States,BAM,KBAM,BAM
Basongo,Small airport,Basongo,Congo (Kinshasa),BAN,FZVR,
Baibara잺losed,Closed,Nabai,Papua New Guinea,BAP,,
Ernesto Cortissoz International,Medium airport,Barranquilla,Colombia,BAQ,SKBQ,
Ballalae,Small airport,Ballalae,Solomon Islands,BAS,AGGE,
Chafei Amsei,Medium airport,Barretos,Brazil,BAT,SNBA,
Bauru,Medium airport,Bauru,Brazil,BAU,SBBU,
Baotou,Medium airport,Baotou,China,BAV,ZBOW,
Biawonque잺losed,Closed,Biawonque,Gabon,BAW,,
Barnaul,Medium airport,Barnaul,Russia,BAX,UNBB,
Tautii Magheraus,Medium airport,Baia Mare,Romania,BAY,LRBM,
Barcelos,Small airport,Barcelos,Brazil,BAZ,SWBC,
Balmaceda,Medium airport,Balmaceda,Chile,BBA,SCBA,
Benson Municipal,Small airport,Benson,United States,BBB,KBBB,BBB
Bay City Municipal,Small airport,Bay City,United States,BBC,KBYY,BYY
Curtis Field,Medium airport,Brady,United States,BBD,KBBD,BBD
Big Bell,Small airport,Big Bell,Australia,BBE,YBBE,
Burlington잺losed,Closed,Burlington,United States,BBF,,
Butaritari Atoll,Small airport,Butaritari Atoll,Kiribati,BBG,NGTU,
Barth,Small airport,,Germany,BBH,EDBH,
Biju Patnaik,Medium airport,Bhubaneswar,India,BBI,VEBS,
Bitburg,Small airport,Bitburg,Germany,BBJ,EDRB,
Kasane,Medium airport,Kasane,Botswana,BBK,FBKE,
Ballera,Small airport,,Australia,BBL,YLLE,
Battambang,Medium airport,Battambang,Cambodia,BBM,VDBG,
Bario,Medium airport,Bario,Malaysia,BBN,WBGZ,
Berbera,Medium airport,Berbera,Somalia,BBO,HCMI,
Bembridge,Small airport,Bembridge,United Kingdom,BBP,EGHJ,
Codrington,Small airport,Codrington,Antigua and Barbuda,BBQ,TAPH,
Baillif,Small airport,Basse Terre,Guadeloupe,BBR,TFFB,
Blackbushe,Medium airport,Yateley,United Kingdom,BBS,EGLK,
Berb?ati,Medium airport,Berb?ati,Central African Republic,BBT,FEFT,
B?neasa International,Medium airport,Bucharest,Romania,BBU,LRBS,
Nero-Mer,Small airport,Grand-B??y,C?e d'Ivoire,BBV,DIGN,
Broken Bow Municipal,Small airport,Broken Bow,United States,BBW,KBBW,BBW
Wings Field,Small airport,Philadelphia,United States,BBX,KLOM,LOM
Bambari,Small airport,Bambari,Central African Republic,BBY,FEFM,
Zambezi,Small airport,Zambezi,Zambia,BBZ,FLZB,
Gustavo Rizo,Medium airport,Baracoa,Cuba,BCA,MUBA,
Virginia Tech Montgomery Executive,Small airport,Blacksburg,United States,BCB,KBCB,BCB
Bear Creek 3,Small airport,Bear Creek,United States,BCC,Z48,Z48
Bacolod-Silay City International,Medium airport,Bacolod City,Philippines,BCD,RPVB,
Bryce Canyon,Medium airport,Bryce Canyon,United States,BCE,KBCE,BCE
Bouca,Small airport,Bouca,Central African Republic,BCF,FEGU,
Bemichi,Small airport,Bemichi,Guyana,BCG,SYBE,
Cakung,Medium airport,Baucau,Timor-Leste,BCH,WPEC,
Barcaldine,Medium airport,Barcaldine,Australia,BCI,YBAR,
Baca Grande Airfield잺losed,Closed,Crestone,United States,BCJ,,
[Duplicate] Bolwarra,Small airport,Bolwarra,Australia,BCK,YBWR,
Barra del Colorado,Medium airport,Pococi,Costa Rica,BCL,MRBC,
Bac?u,Medium airport,Bac?u,Romania,BCM,LRBC,
Barcelona International,Large airport,Barcelona,Spain,BCN,LEBL,
Baco,Small airport,Baco,Ethiopia,BCO,HABC,
Bambu,Small airport,Bambu,Papua New Guinea,BCP,AYBC,
Brak,Medium airport,Brak,Libya,BCQ,,
Novo Campo,Small airport,Boca do Acre,Brazil,BCR,SWNK,
Southern Seaplane,Small airport,Belle Chasse,United States,BCS,65LA,65LA
Boca Raton,Small airport,Boca Raton,United States,BCT,KBCT,BCT
Sir Abubakar Tafawa Balewa International,Medium airport,Bauchi,Nigeria,BCU,DNBC,
Belmopan,Small airport,Belmopan,Belize,BCV,,
Benguera Island,Medium airport,Benguera Island,Mozambique,BCW,,
Beloretsk,Small airport,Beloretsk,Russia,BCX,UWUB,
Bulchi잺losed,Closed,Bulchi,Ethiopia,BCY,,
Brooklyn TMC - Olivers Garage Helipad잺losed,Closed,Brooklyn,Australia,BCZ,,
L.F. Wade International International,Medium airport,Hamilton,Bermuda,BDA,TXKF,
Bundaberg,Medium airport,Bundaberg,Australia,BDB,YBUD,
Barra do Corda,Small airport,Barra Do Corda,Brazil,BDC,SNBC,
Badu Island,Small airport,,Australia,BDD,YBAU,
Baudette International,Medium airport,Baudette,United States,BDE,KBDE,BDE
Rinkenberger Restricted Landing Area,Small airport,Bradford,United States,BDF,3IS8,3IS8
Blanding Municipal,Small airport,Blanding,United States,BDG,KBDG,BDG
Bandar Lengeh,Medium airport,Bandar Lengeh,Iran,BDH,OIBL,
Bird Island,Small airport,Bird Island,Seychelles,BDI,FSSB,
Syamsudin Noor,Small airport,Banjarmasin-Borneo Island,Indonesia,BDJ,WAOO,
Soko,Small airport,Bondoukou,C?e d'Ivoire,BDK,DIBU,
Bradley International,Large airport,Hartford,United States,BDL,KBDL,BDL
Band?rma,Medium airport,,Turkey,BDM,LTBG,
Talhar,Small airport,Badin,Pakistan,BDN,OPTH,
Husein Sastranegara International,Medium airport,Bandung-Java Island,Indonesia,BDO,WICC,
Bhadrapur,Small airport,Bhadrapur,Nepal,BDP,VNCG,
Vadodara,Medium airport,Vadodara,India,BDQ,VABO,
Igor I Sikorsky Memorial,Medium airport,Bridgeport,United States,BDR,KBDR,BDR
Brindisi ?Salento,Medium airport,Brindisi,Italy,BDS,LIBR,
Gbadolite,Medium airport,,Congo (Kinshasa),BDT,FZFD,
Bardufoss,Medium airport,M?selv,Norway,BDU,ENDU,
Moba,Small airport,Moba,Congo (Kinshasa),BDV,FZRB,
Bedford Downs,Small airport,,Australia,BDW,YBDF,
Broadus,Small airport,Broadus,United States,BDX,00F,00F
Bandon State,Small airport,Bandon,United States,BDY,S05,S05
Baindoung,Small airport,,Papua New Guinea,BDZ,AYBG,
Bereina잺losed,Closed,Bereina Mission,Papua New Guinea,BEA,,
Benbecula,Medium airport,Balivanich,United Kingdom,BEB,EGPL,
Beech Factory,Small airport,Wichita,United States,BEC,KBEC,BEC
Laurence G Hanscom Field,Medium airport,Bedford,United States,BED,KBED,BED
Beagle Bay,Small airport,Beagle Bay,Australia,BEE,YBGB,
Bluefields,Medium airport,Bluefileds,Nicaragua,BEF,MNBL,
Belgrade Nikola Tesla,Large airport,Belgrade,Serbia,BEG,LYBE,
Southwest Michigan Regional,Small airport,Benton Harbor,United States,BEH,KBEH,BEH
Beica,Small airport,Beica,Ethiopia,BEI,HABE,
Barau(Kalimaru),Small airport,Tanjung Redep-Borneo Island,Indonesia,BEJ,WALK,
Bareilly Air Force Station,Medium airport,Bareilly,India,BEK,VIBY,
Val de Cans/J?io Cezar Ribeiro International,Large airport,Bel?,Brazil,BEL,SBBE,
Bossemb??Small airport,Bossemb??Central African Republic,BEM,FEFL,,,
Benina International,Medium airport,Benghazi,Libya,BEN,HLLB,
Lake Macquarie,Small airport,,Australia,BEO,YLMQ,
Bellary,Medium airport,Bellary,India,BEP,VOBI,
RAF Honington,Medium airport,Thetford,United Kingdom,BEQ,EGXH,
Berlin Brandenburg (U.C.),Medium airport,Berlin,Germany,BER,EDDB,
Brest Bretagne,Medium airport,Brest/Guipavas,France,BES,LFRB,
Bethel,Medium airport,Bethel,United States,BET,PABE,BET
Bedourie,Medium airport,,Australia,BEU,YBIE,
Beersheba (Teyman),Small airport,Beersheba,Israel,BEV,LLBS,
Beira,Medium airport,Beira,Mozambique,BEW,FQBR,
RAF Benson,Medium airport,Benson,United Kingdom,BEX,EGUB,
Beirut Rafic Hariri International,Large airport,Beirut,Lebanon,BEY,OLBA,
Beru,Small airport,Beru,Kiribati,BEZ,NGBR,
Bah? Negra,Small airport,Bah? Negra,Paraguay,BFA,SGBN,
Blue Fox Bay잺losed,Closed,Blue Fox Bay,United States,BFB,,
[Duplicate] Bloomfield,Small airport,Bloomfield,Australia,BFC,YBMD,
Bradford Regional,Medium airport,Bradford,United States,BFD,KBFD,BFD
Bielefeld,Small airport,Bielefeld,Germany,BFE,EDLI,
Western Neb. Rgnl/William B. Heilig,Medium airport,Scottsbluff,United States,BFF,KBFF,BFF
Bullfrog Basin,Small airport,Glen Canyon Natl Rec Area,United States,BFG,U07,U07
Bacacheri,Medium airport,Curitiba,Brazil,BFH,SBBI,
Boeing Field King County International,Large airport,Seattle,United States,BFI,KBFI,BFI
Buckley Air Force Base,Medium airport,Aurora,United States,BFK,KBKF,BKF
Meadows Field,Medium airport,Bakersfield,United States,BFL,KBFL,BFL
Mobile Downtown,Medium airport,Mobile,United States,BFM,KBFM,BFM
Bram Fischer International,Medium airport,Bloemfontain,South Africa,BFN,FABL,
Buffalo Range,Medium airport,Chiredzi,Zimbabwe,BFO,FVCZ,
Beaver County,Medium airport,Beaver Falls,United States,BFP,KBVI,BVI
Bahia Pi?,Small airport,Bahia Pi?,Panama,BFQ,,
Virgil I Grissom Municipal,Small airport,Bedford,United States,BFR,KBFR,BFR
Belfast International,Large airport,Belfast,United Kingdom,BFS,EGAA,
Bengbu,Medium airport,Bengbu,China,BFU,ZSBB,
Buri Ram,Medium airport,,Thailand,BFV,VTUO,
Sidi Bel Abbes,Small airport,Sidi Bel Abb?,Algeria,BFW,DAOS,
Bafoussam,Medium airport,Bafoussam,Cameroon,BFX,FKKU,
Palonegro,Medium airport,Bucaramanga,Colombia,BGA,SKBG,
Booue,Small airport,Booue,Gabon,BGB,FOGB,
Bragan?,Medium airport,Bragan?,Portugal,BGC,LPBG,
Hutchinson County,Small airport,Borger,United States,BGD,KBGD,BGD
Decatur County Industrial Air Park,Small airport,Bainbridge,United States,BGE,KBGE,BGE
Bangui M'Poko International,Medium airport,Bangui,Central African Republic,BGF,FEFF,
Bing? ?ltiksuyu,Small airport,Bing?,Turkey,BGG,LTCU,
Abbaye,Small airport,Boghe,Mauritania,BGH,GQNE,
Sir Grantley Adams International,Medium airport,Bridgetown,Barbados,BGI,TBPB,
Borgarfj??r eystri,Small airport,Borgarfj??r eystri,Iceland,BGJ,BIBF,
Big Creek,Medium airport,Big Creek,Belize,BGK,,
Baglung,Small airport,Baglung,Nepal,BGL,VNBL,
Greater Binghamton/Edwin A Link field,Medium airport,Binghamton,United States,BGM,KBGM,BGM
Br?gen Air Base잺losed,Closed,,Germany,BGN,ETUR,
Bergen Flesland,Large airport,Bergen,Norway,BGO,ENBR,
Bongo잺losed,Closed,Bongo,Gabon,BGP,,
Bangor International,Large airport,Bangor,United States,BGR,KBGR,BGR
Bagdad,Small airport,Bagdad,United States,BGT,E51,E51
Bangassou,Small airport,Bangassou,Central African Republic,BGU,FEFG,
Aeroclube de Bento Gon?lves,Small airport,Bento Gon?lves,Brazil,BGV,SSBG,
Baghdad International,Large airport,Baghdad,Iraq,BGW,ORBI,
Comandante Gustavo Kraemer,Medium airport,Bag?Brazil,BGX,SBBG,,
Il Caravaggio International,Large airport,Bergamo,Italy,BGY,LIME,
Braga Municipal Aerodrome,Medium airport,Braga,Portugal,BGZ,LPBR,
Los Perales,Small airport,Bah? de Caraquez,Ecuador,BHA,SESV,
Hancock County-Bar Harbor,Medium airport,Bar Harbor,United States,BHB,KBHB,BHB
Bhurban,Small airport,Bhurban,Pakistan,BHC,,
George Best Belfast City,Large airport,Belfast,United Kingdom,BHD,EGAC,
Woodbourne,Medium airport,Blenheim,New Zealand,BHE,NZWB,
Bahia Cupica,Small airport,Bah? Cupica,Colombia,BHF,,
Brus Laguna,Small airport,Brus Laguna,Honduras,BHG,MHBL,
Bisha,Medium airport,,Saudi Arabia,BHH,OEBH,
Comandante Espora,Medium airport,Bahia Blanca,Argentina,BHI,SAZB,
Bhuj,Medium airport,Bhuj,India,BHJ,VABJ,
Bukhara,Medium airport,Bukhara,Uzbekistan,BHK,UTSB,
Bah? de los 햚geles,Small airport,Bah? de los 햚geles,Mexico,BHL,,
Birmingham-Shuttlesworth International,Large airport,Birmingham,United States,BHM,KBHM,BHM
Beihan,Medium airport,,Yemen,BHN,OYBN,
Raja Bhoj International,Medium airport,Bhopal,India,BHO,VABP,
Bhojpur,Small airport,Bhojpur,Nepal,BHP,VNBJ,
Broken Hill,Medium airport,Broken Hill,Australia,BHQ,YBHI,
Bharatpur,Small airport,Bharatpur,Nepal,BHR,VNBP,
Bathurst,Medium airport,Bathurst,Australia,BHS,YBTH,
Brighton Downs잺losed,Closed,,Australia,BHT,,
Bhavnagar,Medium airport,Bhavnagar,India,BHU,VABV,
Bahawalpur,Medium airport,Bahawalpur,Pakistan,BHV,OPBW,
Bhagatanwala,Small airport,Bhagatanwala,Pakistan,BHW,OPBG,
Birmingham International,Large airport,Birmingham,United Kingdom,BHX,EGBB,
Beihai,Small airport,Beihai,China,BHY,ZGBH,
Bastia-Poretta,Medium airport,Bastia/Poretta,France,BIA,LFKB,
Baidoa,Small airport,Baidoa,Somalia,BIB,HCMB,
Big Creek잺losed,Closed,Big Creek,United States,BIC,,
Block Island State,Small airport,Block Island,United States,BID,KBID,BID
Beatrice Municipal,Small airport,Beatrice,United States,BIE,KBIE,BIE
Biggs Army Air Field (Fort Bliss),Medium airport,Fort Bliss/El Paso,United States,BIF,KBIF,BIF
Allen Army Airfield,Medium airport,Delta Junction Ft Greely,United States,BIG,PABI,BIG
Eastern Sierra Regional,Medium airport,Bishop,United States,BIH,KBIH,BIH
Enyu Airfield,Small airport,Bikini Atoll,Marshall Islands,BII,,
Biliau잺losed,Closed,Biliau,Papua New Guinea,BIJ,,
Frans Kaisiepo,Medium airport,Biak-Supiori Island,Indonesia,BIK,WABB,
Billings Logan International,Large airport,Billings,United States,BIL,KBIL,BIL
South Bimini,Medium airport,South Bimini,Bahamas,BIM,MYBS,
Bamiyan,Small airport,Bamiyan,Afghanistan,BIN,OABN,
Bilbao,Medium airport,Bilbao,Spain,BIO,LEBB,
Bulimba,Small airport,,Australia,BIP,YBWM,
Biarritz-Anglet-Bayonne,Medium airport,Biarritz/Anglet/Bayonne,France,BIQ,LFBZ,
Biratnagar,Medium airport,Biratnagar,Nepal,BIR,VNVT,
Bismarck Municipal,Medium airport,Bismarck,United States,BIS,KBIS,BIS
Baitadi,Small airport,Baitadi,Nepal,BIT,VNBT,
Bildudalur,Small airport,Bildudalur,Iceland,BIU,BIBD,
Bria,Small airport,Bria,Central African Republic,BIV,FEFR,
Billiluna,Small airport,,Australia,BIW,YBIL,
Keesler Air Force Base,Medium airport,Biloxi,United States,BIX,KBIX,BIX
